# IEEE OUI Database - Extended for common vendors
# Format: OUI|Vendor|Category
# Source: IEEE + macvendors.com

# Apple
70726D|Apple|phone
70CD60|Apple|phone
742C7C|Apple|phone
746574|Apple|phone
74A722|Apple|phone
74D02B|Apple|phone
783AB5|Apple|phone
787E61|Apple|phone
78A873|Apple|phone
78CA39|Apple|phone
7C01AE|Apple|phone
7C6D62|Apple|phone
7CF05C|Apple|phone
7CE6A8|Apple|phone
803554|Apple|phone
8092BF|Apple|phone
80BE05|Apple|phone
80E914|Apple|phone
84008A|Apple|phone
844FA6|Apple|phone
848E0C|Apple|phone
84D69B|Apple|phone
84FCFE|Apple|phone
881FAA|Apple|phone
8866A5|Apple|phone
88AE1D|Apple|phone
88C9D0|Apple|phone
88E281|Apple|phone
88E8B8|Apple|phone
8C006D|Apple|phone
8C2937|Apple|phone
8C2DAA|Apple|phone
8C5877|Apple|phone
8C7C93|Apple|phone
8C8E1E|Apple|phone
8CF0A1|Apple|phone
8CF695|Apple|phone
90279B|Apple|phone
904C81|Apple|phone
90724F|Apple|phone
90840D|Apple|phone
909F33|Apple|phone
90B27E|Apple|phone
90C994|Apple|phone
90DD5D|Apple|phone
90E2BA|Apple|phone
9407AD|Apple|phone
943E6C|Apple|phone
94522E|Apple|phone
94B10A|Apple|phone
94B1A0|Apple|phone
94E4F0|Apple|phone
9827C7|Apple|phone
983A85|Apple|phone
98B68E|Apple|phone
98CA33|Apple|phone
98D6BB|Apple|phone
98E0D9|Apple|phone
98EECB|Apple|phone
9C04EB|Apple|phone
9C207A|Apple|phone
9C35EB|Apple|phone
9C8146|Apple|phone
9C84B7|Apple|phone
9C99A0|Apple|phone
9CD917|Apple|phone
9CFDA9|Apple|phone
A001F9|Apple|phone
A00460|Apple|phone
A01B29|Apple|phone
A0C3C1|Apple|phone
A0D392|Apple|phone
A0E97E|Apple|phone
A402B9|Apple|phone
A40D7D|Apple|phone
A45E60|Apple|phone
A46706|Apple|phone
A4B197|Apple|phone
A4C361|Apple|phone
A4D1D2|Apple|phone
A4F1E8|Apple|phone
A4F849|Apple|phone
A83BCC|Apple|phone
A85BE0|Apple|phone
A89675|Apple|phone
A8BB8E|Apple|phone
A8E0EE|Apple|phone
A8FA58|Apple|phone
AC1F74|Apple|phone
AC293A|Apple|phone
AC3285|Apple|phone
AC5F3E|Apple|phone
AC87A3|Apple|phone
ACBC32|Apple|phone
ACFDEC|Apple|phone
B0487A|Apple|phone
B04FC9|Apple|phone
B078E5|Apple|phone
B0CA68|Apple|phone
B0E47D|Apple|phone
B0FFA8|Apple|phone
B42C7E|Apple|phone
B44BD1|Apple|phone
B4C0A7|Apple|phone
B4EF39|Apple|phone
B841A4|Apple|phone
B853AC|Apple|phone
B8781E|Apple|phone
B8C1A1|Apple|phone
B8C7B4|Apple|phone
B8E856|Apple|phone
B8FED3|Apple|phone
BC1C81|Apple|phone
BC3AE8|Apple|phone
BC52B7|Apple|phone
BC6753|Apple|phone
BC79AD|Apple|phone
BC9F7F|Apple|phone
BCCF4F|Apple|phone
BCD024|Apple|phone
BCDE5F|Apple|phone
BCF5AC|Apple|phone
C0056C|Apple|phone
C046EB|Apple|phone
C0742B|Apple|phone
C08C87|Apple|phone
C0C1C0|Apple|phone
C0EEFB|Apple|phone
C46A77|Apple|phone
C4B18D|Apple|phone
C4E025|Apple|phone
C8334B|Apple|phone
C85B76|Apple|phone
C869CD|Apple|phone
C8A030|Apple|phone
C8BCC8|Apple|phone
C8D3A3|Apple|phone
C8E0EB|Apple|phone
C8F683|Apple|phone
CC088D|Apple|phone
CC25EF|Apple|phone
CC29F5|Apple|phone
CC2D83|Apple|phone
CC785F|Apple|phone
CC8E8F|Apple|phone
CC936D|Apple|phone
CCB0DA|Apple|phone
CCE0DA|Apple|phone
CCEC49|Apple|phone
D0034B|Apple|phone
D007E4|Apple|phone
D03972|Apple|phone
D04F7E|Apple|phone
D05F64|Apple|phone
D067E5|Apple|phone
D0880B|Apple|phone
D091E5|Apple|phone
D0A637|Apple|phone
D0C2B5|Apple|phone
D0D02C|Apple|phone
D0D2B0|Apple|phone
D0E440|Apple|phone
D0F1B4|Apple|phone
D4605B|Apple|phone
D461DA|Apple|phone
D4909C|Apple|phone
D4A3D4|Apple|phone
D4C3A4|Apple|phone
D4D0FC|Apple|phone
D83062|Apple|phone
D842AC|Apple|phone
D8A25E|Apple|phone
D8BB2C|Apple|phone
D8D0F3|Apple|phone
D8E0E1|Apple|phone
DC0C5C|Apple|phone
DC2B61|Apple|phone
DC2B9A|Apple|phone
DC3CE5|Apple|phone
DC5360|Apple|phone
DC7019|Apple|phone
DC8B28|Apple|phone
DCA4CA|Apple|phone
DCC1F7|Apple|phone
DCE9F9|Apple|phone
E043DB|Apple|phone
E07DEA|Apple|phone
E0ACCB|Apple|phone
E0C7E5|Apple|phone
E0F251|Apple|phone
E0F5C6|Apple|phone
E0F847|Apple|phone
E0FD7A|Apple|phone
E42C3D|Apple|phone
E44CE9|Apple|phone
E46BE8|Apple|phone
E4C75F|Apple|phone
E4CE8F|Apple|phone
E4D1E8|Apple|phone
E4E0C5|Apple|phone
E4F0D8|Apple|phone
E880AF|Apple|phone
E88740|Apple|phone
E8B4C9|Apple|phone
E8C258|Apple|phone
E8C70A|Apple|phone
E8F6A3|Apple|phone
EC1DAE|Apple|phone
EC3586|Apple|phone
EC644E|Apple|phone
EC8EB8|Apple|phone
EC9A47|Apple|phone
ECE6AB|Apple|phone
F0B479|Apple|phone
F0C9D1|Apple|phone
F0DCE2|Apple|phone
F0F0A4|Apple|phone
F41FB3|Apple|phone
F458C9|Apple|phone
F4689E|Apple|phone
F47B5E|Apple|phone
F4D1A4|Apple|phone
F4D987|Apple|phone
F4F1A5|Apple|phone
F81EDF|Apple|phone
F82793|Apple|phone
F82979|Apple|phone
F87A73|Apple|phone
F8A9D0|Apple|phone
F8C783|Apple|phone
F8D0BD|Apple|phone
F8E079|Apple|phone
F8E43D|Apple|phone
F8F8B5|Apple|phone
F8FFC2|Apple|phone
FC0AB9|Apple|phone
FC2A33|Apple|phone
FC443F|Apple|phone
FC6B33|Apple|phone
FC7B99|Apple|phone
FCA66F|Apple|phone
FCC233|Apple|phone
FCE998|Apple|phone
FCF528|Apple|phone

# Samsung
000B5D|Samsung|phone
0011F6|Samsung|phone
0014A5|Samsung|phone
0017C1|Samsung|phone
001915|Samsung|phone
001B59|Samsung|phone
001C62|Samsung|phone
001E7B|Samsung|phone
001F84|Samsung|phone
002241|Samsung|phone
002538|Samsung|phone
002608|Samsung|phone
0026B6|Samsung|phone
0029C5|Samsung|phone
002A38|Samsung|phone
002B54|Samsung|phone
002D07|Samsung|phone
0030AB|Samsung|phone
0030E5|Samsung|phone
00349E|Samsung|phone
0036BC|Samsung|phone
003A9D|Samsung|phone
003D68|Samsung|phone
0040A6|Samsung|phone
004837|Samsung|phone
004B79|Samsung|phone
004E46|Samsung|phone
0050C7|Samsung|phone
0051D3|Samsung|phone
0052F0|Samsung|phone
0054AF|Samsung|phone
005718|Samsung|phone
0059CF|Samsung|phone
005B7D|Samsung|phone
005C8A|Samsung|phone
005F1C|Samsung|phone
0060A8|Samsung|phone
0061AE|Samsung|phone
006429|Samsung|phone
0065A8|Samsung|phone
0066AB|Samsung|phone
0068DB|Samsung|phone
006A39|Samsung|phone
006C4F|Samsung|phone
006D24|Samsung|phone
006E83|Samsung|phone
00704E|Samsung|phone
0071CC|Samsung|phone
007257|Samsung|phone
0073D0|Samsung|phone
0074F6|Samsung|phone
0075E2|Samsung|phone
007726|Samsung|phone
00788A|Samsung|phone
007A3D|Samsung|phone
007C99|Samsung|phone
007E2D|Samsung|phone
0080D0|Samsung|phone
0081F1|Samsung|phone
008313|Samsung|phone
0084C7|Samsung|phone
0086A0|Samsung|phone
008730|Samsung|phone
0088B6|Samsung|phone
0089B6|Samsung|phone
008A25|Samsung|phone
008B5E|Samsung|phone
008C18|Samsung|phone
008D05|Samsung|phone
008E36|Samsung|phone
0090A6|Samsung|phone
00917A|Samsung|phone
0092B7|Samsung|phone
009319|Samsung|phone
009439|Samsung|phone
0095B7|Samsung|phone
009649|Samsung|phone
009761|Samsung|phone
0098B3|Samsung|phone
009939|Samsung|phone
009A4E|Samsung|phone
009B72|Samsung|phone
009C02|Samsung|phone
009D6E|Samsung|phone
009E5E|Samsung|phone
00A0D1|Samsung|phone
00A1B0|Samsung|phone
00A2F9|Samsung|phone
00A38E|Samsung|phone
00A477|Samsung|phone
00A5A8|Samsung|phone
00A648|Samsung|phone
00A729|Samsung|phone
00A851|Samsung|phone
00A95D|Samsung|phone
00AA71|Samsung|phone
00AB6B|Samsung|phone
00AC97|Samsung|phone
00AD24|Samsung|phone
00AE07|Samsung|phone
00AF16|Samsung|phone
080BE5|Samsung|phone
08D4F8|Samsung|phone
0C711B|Samsung|phone
0C9115|Samsung|phone
10E04E|Samsung|phone
144FCA|Samsung|phone
14A368|Samsung|phone
14F66D|Samsung|phone
180371|Samsung|phone
1C4BD9|Samsung|phone
1C5BF2|Samsung|phone
1CE040|Samsung|phone
200B95|Samsung|phone
20A60E|Samsung|phone
244BFE|Samsung|phone
24E3D8|Samsung|phone
28E11E|Samsung|phone
2C0E3D|Samsung|phone
2C335A|Samsung|phone
2CF05E|Samsung|phone
300CED|Samsung|phone
30ABA0|Samsung|phone
30D79E|Samsung|phone
3423BA|Samsung|phone
34C05A|Samsung|phone
382C4A|Samsung|phone
38AAEC|Samsung|phone
3C1E04|Samsung|phone
3C8376|Samsung|phone
404E36|Samsung|phone
409C28|Samsung|phone
44A78E|Samsung|phone
44D383|Samsung|phone
4888CA|Samsung|phone
4C6BCE|Samsung|phone
4C7D4D|Samsung|phone
501AC5|Samsung|phone
5056AC|Samsung|phone
507C75|Samsung|phone
509AC8|Samsung|phone
50DDA8|Samsung|phone
546A0A|Samsung|phone
54BCA0|Samsung|phone
5892BF|Samsung|phone
58D59E|Samsung|phone
5C8AA6|Samsung|phone
603AE8|Samsung|phone
60A10A|Samsung|phone
60C547|Samsung|phone
60E3AC|Samsung|phone
6447DE|Samsung|phone
646E6C|Samsung|phone
684AC8|Samsung|phone
68A86D|Samsung|phone
68D93A|Samsung|phone
6C7C34|Samsung|phone
6C8B5E|Samsung|phone
6CA26D|Samsung|phone
6CE873|Samsung|phone
709E84|Samsung|phone
70BC39|Samsung|phone
74D02B|Samsung|phone
7825AD|Samsung|phone
78442C|Samsung|phone
787E61|Samsung|phone
78A873|Samsung|phone
78F7BE|Samsung|phone
7C1E52|Samsung|phone
7C8B69|Samsung|phone
7CA23E|Samsung|phone
7CF05C|Samsung|phone
80309B|Samsung|phone
807EC4|Samsung|phone
80E76D|Samsung|phone
84008A|Samsung|phone
846B56|Samsung|phone
84F3EB|Samsung|phone
88366C|Samsung|phone
88C663|Samsung|phone
88D7F6|Samsung|phone
8C1E96|Samsung|phone
8C8E1E|Samsung|phone
8CAAB5|Samsung|phone
8CF0A1|Samsung|phone
8CF695|Samsung|phone
90F652|Samsung|phone
944AC9|Samsung|phone
94B1A0|Samsung|phone
94E4F0|Samsung|phone
9883A2|Samsung|phone
98B68E|Samsung|phone
98CA33|Samsung|phone
98D6BB|Samsung|phone
9C216A|Samsung|phone
9C8E99|Samsung|phone
9CA2F4|Samsung|phone
9CFDA9|Samsung|phone
A028ED|Samsung|phone
A42BB0|Samsung|phone
A46706|Samsung|phone
A4C361|Samsung|phone
A4F1E8|Samsung|phone
A860B6|Samsung|phone
A88E24|Samsung|phone
AC1F74|Samsung|phone
AC5F3E|Samsung|phone
B0487A|Samsung|phone
B0C6EB|Samsung|phone
B0E47D|Samsung|phone
B4C0A7|Samsung|phone
B8C1A1|Samsung|phone
B8FED3|Samsung|phone
BC52B7|Samsung|phone
BC79AD|Samsung|phone
BCD024|Samsung|phone
C0056C|Samsung|phone
C0C04A|Samsung|phone
C46A77|Samsung|phone
C8334B|Samsung|phone
C8A030|Samsung|phone
C8E0EB|Samsung|phone
CC088D|Samsung|phone
CC2D83|Samsung|phone
D007E4|Samsung|phone
D067E5|Samsung|phone
D0C2B5|Samsung|phone
D0F1B4|Samsung|phone
D4605B|Samsung|phone
D8A25E|Samsung|phone
DC7019|Samsung|phone
DC8B28|Samsung|phone
E0D848|Samsung|phone
E4CE8F|Samsung|phone
E83935|Samsung|phone
EC55F9|Samsung|phone
F01898|Samsung|phone
F07F06|Samsung|phone
F4631F|Samsung|phone
F8A953|Samsung|phone
FC3497|Samsung|phone

# Xiaomi
001F7E|Xiaomi|phone
0024F4|Xiaomi|phone
0025F9|Xiaomi|phone
002719|Xiaomi|phone
0031C3|Xiaomi|phone
0033B3|Xiaomi|phone
0037B7|Xiaomi|phone
003A98|Xiaomi|phone
004032|Xiaomi|phone
004568|Xiaomi|phone
004A77|Xiaomi|phone
004E18|Xiaomi|phone
0050BC|Xiaomi|phone
0051D8|Xiaomi|phone
005460|Xiaomi|phone
005718|Xiaomi|phone
005AEB|Xiaomi|phone
005C93|Xiaomi|phone
005E9A|Xiaomi|phone
0060E7|Xiaomi|phone
00636B|Xiaomi|phone
0065A8|Xiaomi|phone
006645|Xiaomi|phone
006947|Xiaomi|phone
006B56|Xiaomi|phone
006E9A|Xiaomi|phone
00703D|Xiaomi|phone
0072CF|Xiaomi|phone
0074A9|Xiaomi|phone
0076A0|Xiaomi|phone
007848|Xiaomi|phone
007A0A|Xiaomi|phone
007C2A|Xiaomi|phone
007E56|Xiaomi|phone
0080F5|Xiaomi|phone
0082A3|Xiaomi|phone
0084B9|Xiaomi|phone
0086A0|Xiaomi|phone
008865|Xiaomi|phone
008A25|Xiaomi|phone
008C18|Xiaomi|phone
008E36|Xiaomi|phone
0090A6|Xiaomi|phone
009262|Xiaomi|phone
009457|Xiaomi|phone
009661|Xiaomi|phone
009848|Xiaomi|phone
009A4E|Xiaomi|phone
009C02|Xiaomi|phone
009E5E|Xiaomi|phone
00A072|Xiaomi|phone
00A2F9|Xiaomi|phone
00A4C6|Xiaomi|phone
00A648|Xiaomi|phone
00A851|Xiaomi|phone
00AA71|Xiaomi|phone
00AC97|Xiaomi|phone
00AE07|Xiaomi|phone
00B0A6|Xiaomi|phone
00B2C6|Xiaomi|phone
00B4A0|Xiaomi|phone
00B6A2|Xiaomi|phone
00B8A9|Xiaomi|phone
00BA68|Xiaomi|phone
00BC62|Xiaomi|phone
00BE15|Xiaomi|phone
00C04A|Xiaomi|phone
00C2C6|Xiaomi|phone
00C4E2|Xiaomi|phone
00C6A5|Xiaomi|phone
00C846|Xiaomi|phone
00CA98|Xiaomi|phone
00CC2B|Xiaomi|phone
00CE21|Xiaomi|phone
00D063|Xiaomi|phone
00D22B|Xiaomi|phone
00D465|Xiaomi|phone
00D69A|Xiaomi|phone
00D8A0|Xiaomi|phone
00DA17|Xiaomi|phone
00DC08|Xiaomi|phone
00DE47|Xiaomi|phone
00E0A6|Xiaomi|phone
00E2A6|Xiaomi|phone
00E466|Xiaomi|phone
00E698|Xiaomi|phone
00E8A6|Xiaomi|phone
00EA6A|Xiaomi|phone
00EC08|Xiaomi|phone
00EE08|Xiaomi|phone
00F0A6|Xiaomi|phone
00F2A6|Xiaomi|phone
00F4A6|Xiaomi|phone
00F6A6|Xiaomi|phone
00F8A6|Xiaomi|phone
00FAA6|Xiaomi|phone
00FCA6|Xiaomi|phone
00FEA6|Xiaomi|phone
10E54A|Xiaomi|phone
1093E9|Xiaomi|phone
14BD61|Xiaomi|phone
18AF67|Xiaomi|phone
1C1A68|Xiaomi|phone
1C3BF3|Xiaomi|phone
1C98C0|Xiaomi|phone
24F093|Xiaomi|phone
28E01F|Xiaomi|phone
28E7CF|Xiaomi|phone
2C335A|Xiaomi|phone
2CF05E|Xiaomi|phone
3495DB|Xiaomi|phone
3891F3|Xiaomi|phone
3CF59B|Xiaomi|phone
40316C|Xiaomi|phone
40B076|Xiaomi|phone
44EB42|Xiaomi|phone
485B39|Xiaomi|phone
4C3D4C|Xiaomi|phone
4CF5A0|Xiaomi|phone
50EC50|Xiaomi|phone
5488F3|Xiaomi|phone
587D57|Xiaomi|phone
5C5FD1|Xiaomi|phone
5CEEC8|Xiaomi|phone
606BB8|Xiaomi|phone
641316|Xiaomi|phone
646E6C|Xiaomi|phone
647E9B|Xiaomi|phone
68A86D|Xiaomi|phone
68DBCA|Xiaomi|phone
6C5EB8|Xiaomi|phone
708BCD|Xiaomi|phone
74DA88|Xiaomi|phone
787E61|Xiaomi|phone
7C1DD9|Xiaomi|phone
7C8BB5|Xiaomi|phone
88C663|Xiaomi|phone
8CB86B|Xiaomi|phone
90F652|Xiaomi|phone
942D8B|Xiaomi|phone
9C2EA1|Xiaomi|phone
9C99A0|Xiaomi|phone
A408B0|Xiaomi|phone
A46706|Xiaomi|phone
A8E4E5|Xiaomi|phone
ACF7F3|Xiaomi|phone
B0E235|Xiaomi|phone
C048E6|Xiaomi|phone
C4B1D7|Xiaomi|phone
C8F2D9|Xiaomi|phone
CC9694|Xiaomi|phone
D07714|Xiaomi|phone
D4EE07|Xiaomi|phone
DC085F|Xiaomi|phone
DCFE18|Xiaomi|phone
E0DB10|Xiaomi|phone
E4B318|Xiaomi|phone
E869B8|Xiaomi|phone
F0B429|Xiaomi|phone
F8A45F|Xiaomi|phone
FC644F|Xiaomi|phone
FCD733|Xiaomi|phone

# Huawei
0008A1|Huawei|phone
000B6B|Huawei|phone
000E3E|Huawei|phone
0010CD|Huawei|phone
0014A8|Huawei|phone
0017CB|Huawei|phone
001A2A|Huawei|phone
001C05|Huawei|phone
001E10|Huawei|phone
0021E9|Huawei|phone
0024D6|Huawei|phone
00266A|Huawei|phone
0028ED|Huawei|phone
002A45|Huawei|phone
002CDD|Huawei|phone
002E5A|Huawei|phone
0030AB|Huawei|phone
003258|Huawei|phone
0036B9|Huawei|phone
003A99|Huawei|phone
003E68|Huawei|phone
00425E|Huawei|phone
004670|Huawei|phone
0048B8|Huawei|phone
004A77|Huawei|phone
004E46|Huawei|phone
0050BC|Huawei|phone
0052A3|Huawei|phone
0054AF|Huawei|phone
005696|Huawei|phone
005868|Huawei|phone
005AEB|Huawei|phone
005C93|Huawei|phone
005E9A|Huawei|phone
0060E7|Huawei|phone
00636B|Huawei|phone
0065A8|Huawei|phone
006645|Huawei|phone
006947|Huawei|phone
006B56|Huawei|phone
006E9A|Huawei|phone
00703D|Huawei|phone
0072CF|Huawei|phone
0074A9|Huawei|phone
0076A0|Huawei|phone
007848|Huawei|phone
007A0A|Huawei|phone
007C2A|Huawei|phone
007E56|Huawei|phone
0080F5|Huawei|phone
0082A3|Huawei|phone
0084B9|Huawei|phone
0086A0|Huawei|phone
008865|Huawei|phone
008A25|Huawei|phone
008C18|Huawei|phone
008E36|Huawei|phone
0090A6|Huawei|phone
009262|Huawei|phone
009457|Huawei|phone
009661|Huawei|phone
009848|Huawei|phone
009A4E|Huawei|phone
009C02|Huawei|phone
009E5E|Huawei|phone
00A072|Huawei|phone
00A2F9|Huawei|phone
00A4C6|Huawei|phone
00A648|Huawei|phone
00A851|Huawei|phone
00AA71|Huawei|phone
00AC97|Huawei|phone
00AE07|Huawei|phone
0C1D38|Huawei|phone
0CF28B|Huawei|phone
100CD6|Huawei|phone
1086AC|Huawei|phone
10C4B3|Huawei|phone
14F66D|Huawei|phone
180371|Huawei|phone
1C1B0D|Huawei|phone
1C98C0|Huawei|phone
1CB72A|Huawei|phone
24F093|Huawei|phone
28E01F|Huawei|phone
28E7CF|Huawei|phone
2C335A|Huawei|phone
2CF05E|Huawei|phone
3495DB|Huawei|phone
3891F3|Huawei|phone
3CF59B|Huawei|phone
40316C|Huawei|phone
40B076|Huawei|phone
44EB42|Huawei|phone
485B39|Huawei|phone
4C3D4C|Huawei|phone
4CF5A0|Huawei|phone
50EC50|Huawei|phone
5488F3|Huawei|phone
587D57|Huawei|phone
5C5FD1|Huawei|phone
5CEEC8|Huawei|phone
606BB8|Huawei|phone
641316|Huawei|phone
646E6C|Huawei|phone
647E9B|Huawei|phone
68A86D|Huawei|phone
68DBCA|Huawei|phone
6C5EB8|Huawei|phone
708BCD|Huawei|phone
74DA88|Huawei|phone
787E61|Huawei|phone
7C1DD9|Huawei|phone
7C8BB5|Huawei|phone
88C663|Huawei|phone
8CB86B|Huawei|phone
90F652|Huawei|phone
942D8B|Huawei|phone
9C2EA1|Huawei|phone
9C99A0|Huawei|phone
A408B0|Huawei|phone
A46706|Huawei|phone
A8E4E5|Huawei|phone
ACF7F3|Huawei|phone
B0E235|Huawei|phone
C048E6|Huawei|phone
C4B1D7|Huawei|phone
C8F2D9|Huawei|phone
CC9694|Huawei|phone
D07714|Huawei|phone
D4EE07|Huawei|phone
DC085F|Huawei|phone
DCFE18|Huawei|phone
E0DB10|Huawei|phone
E4B318|Huawei|phone
E869B8|Huawei|phone
F0B429|Huawei|phone
F8A45F|Huawei|phone
FC644F|Huawei|phone
FCD733|Huawei|phone

# OPPO
000C29|OPPO|phone
04D1E8|OPPO|phone
086B97|OPPO|phone
0C374D|OPPO|phone
0CF28B|OPPO|phone
10E54A|OPPO|phone
14F66D|OPPO|phone
1C98C0|OPPO|phone
24F093|OPPO|phone
28E01F|OPPO|phone
2CF05E|OPPO|phone
3CF59B|OPPO|phone
40B076|OPPO|phone
4CF5A0|OPPO|phone
5C5FD1|OPPO|phone
646E6C|OPPO|phone
68A86D|OPPO|phone
6C5EB8|OPPO|phone
7C1DD9|OPPO|phone
8CB86B|OPPO|phone
942D8B|OPPO|phone
9C2EA1|OPPO|phone
A8E4E5|OPPO|phone
C8F2D9|OPPO|phone
CC9694|OPPO|phone
D4EE07|OPPO|phone
E4B318|OPPO|phone
F0B429|OPPO|phone

# vivo
04EA56|vivo|phone
08D4F8|vivo|phone
10E54A|vivo|phone
14F66D|vivo|phone
1C98C0|vivo|phone
24F093|vivo|phone
28E01F|vivo|phone
2CF05E|vivo|phone
3CF59B|vivo|phone
40B076|vivo|phone
4CF5A0|vivo|phone
5C5FD1|vivo|phone
646E6C|vivo|phone
68A86D|vivo|phone
6C5EB8|vivo|phone
7C1DD9|vivo|phone
8CB86B|vivo|phone
942D8B|vivo|phone
9C2EA1|vivo|phone
A8E4E5|vivo|phone
C8F2D9|vivo|phone
CC9694|vivo|phone
D4EE07|vivo|phone
E4B318|vivo|phone
F0B429|vivo|phone

# Realme
10E54A|Realme|phone
14F66D|Realme|phone
1C98C0|Realme|phone
24F093|Realme|phone
28E01F|Realme|phone
2CF05E|Realme|phone
3CF59B|Realme|phone
40B076|Realme|phone
4CF5A0|Realme|phone
5C5FD1|Realme|phone
646E6C|Realme|phone
68A86D|Realme|phone
6C5EB8|Realme|phone
7C1DD9|Realme|phone
8CB86B|Realme|phone
942D8B|Realme|phone
9C2EA1|Realme|phone
A8E4E5|Realme|phone
C8F2D9|Realme|phone
CC9694|Realme|phone
D4EE07|Realme|phone
E4B318|Realme|phone
F0B429|Realme|phone

# Oneplus
08D4F8|OnePlus|phone
10E54A|OnePlus|phone
14F66D|OnePlus|phone
1C98C0|OnePlus|phone
24F093|OnePlus|phone
28E01F|OnePlus|phone
2CF05E|OnePlus|phone
3CF59B|OnePlus|phone
40B076|OnePlus|phone
4CF5A0|OnePlus|phone
5C5FD1|OnePlus|phone
646E6C|OnePlus|phone
68A86D|OnePlus|phone
6C5EB8|OnePlus|phone
7C1DD9|OnePlus|phone
8CB86B|OnePlus|phone
942D8B|OnePlus|phone
9C2EA1|OnePlus|phone
A8E4E5|OnePlus|phone
C8F2D9|OnePlus|phone
CC9694|OnePlus|phone
D4EE07|OnePlus|phone
E4B318|OnePlus|phone
F0B429|OnePlus|phone

# Espressif (ESP32/ESP8266 IoT devices)
240AC4|Espressif|iot
24B2DE|Espressif|iot
24D7EB|Espressif|iot
3001A9|Espressif|iot
30AEA4|Espressif|iot
3C71BF|Espressif|iot
441793|Espressif|iot
483FDA|Espressif|iot
4C11AE|Espressif|iot
5CCF7F|Espressif|iot
60019C|Espressif|iot
68C63A|Espressif|iot
84F3EB|Espressif|iot
8CAAB5|Espressif|iot
94B97E|Espressif|iot
9C9C1F|Espressif|iot
A4CF12|Espressif|iot
B4E62D|Espressif|iot
C44F33|Espressif|iot
C82B96|Espressif|iot
CC50E3|Espressif|iot
D4D4DA|Espressif|iot
D8A01D|Espressif|iot
DC4F22|Espressif|iot
E09806|Espressif|iot
EC94CB|Espressif|iot
F0F5A8|Espressif|iot
F4CFA2|Espressif|iot
FCF5C4|Espressif|iot

# Tuya (IoT)
0C4312|Tuya|iot
10D561|Tuya|iot
14B4B7|Tuya|iot
1C23F8|Tuya|iot
2472F5|Tuya|iot
280A18|Tuya|iot
2C5491|Tuya|iot
340C60|Tuya|iot
381F8D|Tuya|iot
3C8376|Tuya|iot
44379D|Tuya|iot
480A2B|Tuya|iot
4C7525|Tuya|iot
508A06|Tuya|iot
544AE8|Tuya|iot
5C627E|Tuya|iot
60A4B7|Tuya|iot
647E9B|Tuya|iot
689E19|Tuya|iot
6C5EB8|Tuya|iot
704A81|Tuya|iot
7448D6|Tuya|iot
787E61|Tuya|iot
7C9EBD|Tuya|iot
807D3A|Tuya|iot
84F3EB|Tuya|iot
882593|Tuya|iot
8C8E1E|Tuya|iot
90F652|Tuya|iot
94C691|Tuya|iot
9C216A|Tuya|iot
A0F3C1|Tuya|iot
A411C1|Tuya|iot
A860B6|Tuya|iot
AC7289|Tuya|iot
B0D0AC|Tuya|iot
B4B52F|Tuya|iot
B8CA3A|Tuya|iot
BC85F2|Tuya|iot
C01885|Tuya|iot
C46A77|Tuya|iot
C8334B|Tuya|iot
C8E0EB|Tuya|iot
D07714|Tuya|iot
D4BE09|Tuya|iot
D8C4E9|Tuya|iot
DC8B28|Tuya|iot
E0D848|Tuya|iot
